City,Accident_count
JEFFERSON,1056
PIKESVILLE,1054
MONTEREY PARK,1053
ALAMO,1052
LAKELAND,1042
ANNAPOLIS,1041
PLANT CITY,1039
DELRAY BEACH,1039
HUNTINGTON PARK,1038
VANCOUVER,1036
LATHROP,1034
MANCHESTER,1032
WICHITA FALLS,1028
NEWPORT,1025
ELK RIVER,1020
CLIFTON,1019
SONOMA,1013
AIKEN,1012
ROSEMEAD,1009
CAMDEN,1009
VIENNA,1009
VICTORVILLE,1005
UTICA,1001
TUALATIN,1001
LOS BANOS,1001
CHILOQUIN,1000
MANKATO,1000
MADRAS,997
OSSEO,997
MANOR,992
PORTSMOUTH,988
SCHENECTADY,985
GRANADA HILLS,985
EDISON,984
WARRENTON,984
CHICO,983
EDEN PRAIRIE,979
WILLIAMSPORT,977
GOLETA,976
WOLF CREEK,973
MONTEBELLO,970
NORTH LITTLE ROCK,970
MALIBU,970
ROCK HILL,969
CALABASAS,964
FOREST LAKE,961
TOLEDO,961
ALLENTOWN,960
QUINCY,959
ROANOKE,958
PANAMA CITY,954
HANFORD,951
RYE,950
JOHNSTOWN,946
LINCOLN,946
BEDFORD,940
BARRINGTON,940
PRINCETON,938
DENTON,936
IRVINGTON,936
MARION,932
WASCO,932
STERLING,930
UPPER MARLBORO,929
ATWATER,924
NOVATO,924
SANTA CLARA,922
SUMTER,922
JORDAN VALLEY,921
GARLAND,921
DOVER,919
PORTERVILLE,918
ANTELOPE,918
KEARNY,917
OOLTEWAH,917
MASPETH,914
SOUTH JORDAN,914
RIALTO,914
HIGHLAND PARK,913
CANYON COUNTRY,913
ALBUQUERQUE,912
CHESTERFIELD,908
SONORA,907
SANTA CLARITA,906
WOODSIDE,901
OREGON CITY,900
COVINGTON,897
APTOS,893
CUPERTINO,892
GLEN BURNIE,891
MENIFEE,891
TEHACHAPI,890
MAPLE GROVE,889
FILLMORE,887
CENTRAL POINT,885
ANNANDALE,883
DELANO,883
PALM BEACH GARDENS,880
ROGERS,879
PORT ALLEN,878
HIXSON,877
GRAYSLAKE,874
KALISPELL,874
CHANTILLY,874
GALT,871
WILLITS,870
DALY CITY,869
WAKE FOREST,867
LEES SUMMIT,867
DUMFRIES,865
SOUTH SAN FRANCISCO,863
ALTOONA,861
DUARTE,860
LAND O LAKES,860
PINELLAS PARK,858
MOUNT LAUREL,857
CANTON,856
LANSDALE,848
CATONSVILLE,847
TRUCKEE,845
LEWISVILLE,844
BEAVERTON,844
KENT,840
LA GRANGE,838
LEHI,838
DEERFIELD BEACH,836
IRMO,834
GAFFNEY,831
RICHARDSON,827
KNIGHTDALE,826
HAMMOND,825
HUNTINGDON VALLEY,824
WOODBURN,820
WEST JORDAN,819
TOOELE,819
LUTHERVILLE TIMONIUM,818
MACON,818
SAN LUIS OBISPO,815
CEDAR CITY,814
PLEASANT HILL,813
LAGUNA HILLS,810
CLERMONT,809
VALLEY VILLAGE,809
MUNDELEIN,806
FORT WALTON BEACH,804
CITRUS HEIGHTS,803
SOUTHFIELD,802
CHERRY HILL,802
OLATHE,799
LANHAM,797
WEBSTER,797
ELKTON,797
PROVO,795
WALTERBORO,792
RIPON,788
PLANO,787
